session,frustration_score_100,off_ground_ratio,avg_off_ground_duration,event_frequency,num_events,total_time,total_records,track,difficulty
telemetry_20251111_221300,47.3390811087421,0.05613036730470771,1.8082999999999991,1.8628738554968751,1,32.2083,3866,cornfield_crossing,2
telemetry_20251111_124504,43.142547816913414,0.0359600155783461,1.731274999999993,1.2463214044795907,4,192.5667,23109,cornfield_crossing,1
telemetry_20251115_223103,40.825935286602004,0.06818181818181818,1.3468625000000007,3.0374940673943995,8,158.025,18964,hacienda,2
telemetry_20251115_192307,36.659910773802125,0.07522573363431151,0.6171222222222225,7.3141841670938925,18,147.6583,17720,snowtuxpeak,2
telemetry_20251113_210838,35.476740510016036,0.015372790161414296,1.5,0.6149377606119041,2,195.1417,23418,scotland,1
telemetry_20251113_212259,34.84014441575296,0.036793878707727184,1.2983000000000007,1.7004392801473713,5,176.425,21172,hacienda,1
telemetry_20251115_223414,34.647986650269054,0.009824791223186507,1.5,0.3930130146259793,1,152.6667,18321,sandtrack,2
telemetry_20251113_212942,32.11620604168633,0.027013552100802248,1.241674999999998,1.3054120206690238,4,183.85,22063,hacienda,1
telemetry_20251113_212618,29.962385456576,0.013500742540839746,1.25,0.6480646898173376,2,185.1667,22221,sandtrack,1
telemetry_20251113_213310,29.084680590241536,0.01627942525221645,1.183366666666662,0.8254673176852245,3,218.0583,26168,volcano_island,1
telemetry_20251113_211900,28.585230545802876,0.016003062787136296,1.1611000000000047,0.8269843144047344,3,217.6583,26120,volcano_island,1
telemetry_20251113_213720,28.44890769893492,0.03859788886675961,0.8972222222222234,2.581261950286807,9,209.2,25105,ravenbridge_mansion,1
telemetry_20251113_211506,28.1583545380827,0.04182318088525733,0.8181909090909104,3.0671525160177393,11,215.1833,25823,ravenbridge_mansion,1
telemetry_20251115_222444,26.76072195765822,0.03875458564575299,0.7629444444444471,3.0478340623677154,9,177.175,21262,ravenbridge_mansion,2
telemetry_20251115_222800,20.380491590846734,0.010287411178279774,0.8083500000000008,0.7636419868182667,2,157.1417,18858,scotland,2
telemetry_20251115_222117,19.790676595159198,0.015306813563913849,0.7062500000000025,1.300460579788675,4,184.55,22147,volcano_island,2
telemetry_20251113_211211,18.490277321076142,0.019972714870395633,0.5083499999999953,2.357563850687623,6,152.7,18325,snowtuxpeak,1
telemetry_20251111_124451,0.0,0.0,0.0,0.0,0,9.0667,1089,overworld,2
telemetry_20251115_192227,0.0,0.0,0.0,0.0,0,12.9917,1560,overworld,2
telemetry_20251113_210505,0.0,0.0,0.0,0.0,0,192.95,23155,abyss,1
telemetry_20251111_221341,0.0,0.0,0.0,0.0,0,1.2667,153,overworld,2
telemetry_20251111_221244,0.0,0.0,0.0,0.0,0,10.3583,1244,overworld,2
telemetry_20251111_124829,0.0,0.0,0.0,0.0,0,1.4667,177,overworld,2
telemetry_20251115_223727,0.0,0.0,0.0,0.0,0,12.1417,1458,volcano_island,2
